name,time,value
Vazao,2020-05-27T16:57:56.0954285Z,232.42
Vazao,2020-05-27T17:13:43.7129445Z,191.95
Vazao,2020-05-27T17:13:44.4143608Z,230.25
Vazao,2020-05-27T17:13:45.1183493Z,237.17
Vazao,2020-05-27T17:13:45.8146485Z,220.46
Vazao,2020-05-27T17:13:46.5148612Z,174.73
Vazao,2020-05-27T17:13:47.2117872Z,186.34
Vazao,2020-05-27T17:13:47.9136969Z,237.82
Vazao,2020-05-27T17:13:48.6138493Z,184.91
Vazao,2020-05-27T17:13:49.3151809Z,200.18
Vazao,2020-05-27T17:13:50.0173524Z,221.07
Vazao,2020-05-27T17:13:50.715717Z,194.54
Vazao,2020-05-27T17:13:51.4160018Z,176.03
Vazao,2020-05-27T17:13:52.1184741Z,156.67
Vazao,2020-05-27T17:13:52.8165745Z,235.83
Vazao,2020-05-27T17:13:53.5170297Z,206.2
Vazao,2020-05-27T17:13:54.2202234Z,222.53
Vazao,2020-05-27T17:13:54.9199731Z,220.9
Vazao,2020-05-27T17:13:55.6209346Z,232.19
Vazao,2020-05-27T17:13:56.319596Z,238.14
Vazao,2020-05-27T17:13:57.0237299Z,212.71
Vazao,2020-05-27T17:13:57.7214025Z,239.91
Vazao,2020-05-27T17:13:58.4242074Z,202.71
Vazao,2020-05-27T17:13:59.1210673Z,159.83
Vazao,2020-05-27T17:13:59.8215073Z,171.36
Vazao,2020-05-27T17:14:00.5250152Z,153.84
Vazao,2020-05-27T17:14:01.2221862Z,221.57
Vazao,2020-05-27T17:14:01.9243125Z,216.83
Vazao,2020-05-27T17:14:02.6235117Z,208.09
Vazao,2020-05-27T17:14:03.3257519Z,226.61
Vazao,2020-05-27T17:14:04.024877Z,223.88
Vazao,2020-05-27T17:14:04.7273541Z,171.71
Vazao,2020-05-27T17:14:05.4276449Z,169.02
Vazao,2020-05-27T17:14:06.1301893Z,155.46
Vazao,2020-05-27T17:14:06.8309407Z,153.88
Vazao,2020-05-27T17:14:07.5322159Z,195.22
Vazao,2020-05-27T17:14:08.2325291Z,156.97
Vazao,2020-05-27T17:14:08.9316429Z,185.73
Vazao,2020-05-27T17:14:09.6343841Z,159.68
Vazao,2020-05-27T17:14:10.3375485Z,177.74
Vazao,2020-05-27T17:14:11.0408023Z,169.59
Vazao,2020-05-27T17:14:11.7415193Z,215.51
Vazao,2020-05-27T17:14:12.4426877Z,230.69
Vazao,2020-05-27T17:14:13.1470096Z,173.17
Vazao,2020-05-27T17:14:13.8469562Z,236.02
Vazao,2020-05-27T17:14:14.5474734Z,162.38
Vazao,2020-05-27T17:14:15.2454604Z,237.81
Vazao,2020-05-27T17:14:15.9470492Z,186.29
Vazao,2020-05-27T17:14:16.6468999Z,155.33
Vazao,2020-05-27T17:14:17.3476176Z,208.3
Vazao,2020-05-27T17:14:18.0496228Z,169.08
Vazao,2020-05-27T17:14:18.7476465Z,221.81
Vazao,2020-05-27T17:14:19.4510823Z,168.47
Vazao,2020-05-27T17:14:20.147857Z,160.46
Vazao,2020-05-27T17:14:20.8501678Z,170.21
Vazao,2020-05-27T17:14:21.5507156Z,216.88
Vazao,2020-05-27T17:14:22.2517046Z,172.21
Vazao,2020-05-27T17:14:22.9528261Z,215.59
Vazao,2020-05-27T17:14:23.65487Z,203.49
Vazao,2020-05-27T17:14:24.353563Z,175.76
Vazao,2020-05-27T17:14:25.0532582Z,183.2
Vazao,2020-05-27T17:14:25.7543334Z,217.91
Vazao,2020-05-27T17:14:26.4563894Z,155.02
Vazao,2020-05-27T17:14:27.155233Z,225.76
Vazao,2020-05-27T17:14:27.8550684Z,221.52
Vazao,2020-05-27T17:14:28.5544086Z,224.85
Vazao,2020-05-27T17:14:29.2563697Z,167.6
Vazao,2020-05-27T17:14:29.9564882Z,164.33
Vazao,2020-05-27T17:14:30.6578931Z,200.08
Vazao,2020-05-27T17:14:31.3562646Z,181.25
Vazao,2020-05-27T17:14:32.0600303Z,206.79
Vazao,2020-05-27T17:14:32.7589768Z,161.9
Vazao,2020-05-27T17:14:33.4583855Z,153.72
Vazao,2020-05-27T17:14:34.161176Z,184.24
Vazao,2020-05-27T17:14:34.8602715Z,224.48
Vazao,2020-05-27T17:14:35.5612759Z,189.26
Vazao,2020-05-27T17:14:36.2615169Z,198.36
Vazao,2020-05-27T17:14:36.9622872Z,235.72
Vazao,2020-05-27T17:14:37.6632655Z,188.93
Vazao,2020-05-27T17:14:38.3634673Z,163.82
Vazao,2020-05-27T17:14:39.0647803Z,175.78
Vazao,2020-05-27T17:14:39.7659529Z,195.1
Vazao,2020-05-27T17:14:40.4654271Z,210
Vazao,2020-05-27T17:14:41.1673962Z,198.22
Vazao,2020-05-27T17:14:41.8661692Z,160.26
Vazao,2020-05-27T17:14:42.5668481Z,170.86
Vazao,2020-05-27T17:14:43.2681461Z,202.96
Vazao,2020-05-27T17:14:43.9648669Z,190.85
Vazao,2020-05-27T17:14:44.6659919Z,219.55
Vazao,2020-05-27T17:14:45.3679001Z,188.52
Vazao,2020-05-27T17:14:46.0656159Z,184.98
Vazao,2020-05-27T17:14:46.7667945Z,216.49
Vazao,2020-05-27T17:14:47.4674089Z,188.93
Vazao,2020-05-27T17:14:48.1675374Z,205.9
Vazao,2020-05-27T17:14:48.8692494Z,184
Vazao,2020-05-27T17:14:49.5710447Z,200.69
Vazao,2020-05-27T17:14:50.2700721Z,164.94
Vazao,2020-05-27T17:14:50.9707833Z,165.11
Vazao,2020-05-27T17:14:51.6699431Z,165.16
Vazao,2020-05-27T17:14:52.3710388Z,224.71
Vazao,2020-05-27T17:14:53.0707483Z,167.69
Vazao,2020-05-27T17:14:53.7708314Z,219.62
Vazao,2020-05-27T17:14:54.469556Z,155.76
Vazao,2020-05-27T17:14:55.1717363Z,184.32
Vazao,2020-05-27T17:14:55.8721152Z,194.68
Vazao,2020-05-27T17:14:56.5712481Z,163.83
Vazao,2020-05-27T17:14:57.2736796Z,233.27
Vazao,2020-05-27T17:14:57.9758026Z,212.53
