sep=;
"Time";"Vazao.mean"
"2020-05-27 19:38:21";170.82
"2020-05-27 19:38:21";203.57
"2020-05-27 19:38:22";176.5
"2020-05-27 19:38:23";221.02
"2020-05-27 19:38:24";215.85
"2020-05-27 19:38:24";237.43
"2020-05-27 19:38:25";159.93
"2020-05-27 19:38:26";215.59
"2020-05-27 19:38:26";215.45
"2020-05-27 19:38:27";229.98
"2020-05-27 19:38:28";171.17
"2020-05-27 19:38:29";211.78
"2020-05-27 19:38:29";161.34
"2020-05-27 19:38:30";165.63
"2020-05-27 19:38:31";157.58
"2020-05-27 19:38:31";232.94
"2020-05-27 19:38:32";208.17
"2020-05-27 19:38:33";167.47
"2020-05-27 19:38:33";184.23
"2020-05-27 19:38:34";210.06
"2020-05-27 19:38:35";220.75
"2020-05-27 19:38:36";230.63
"2020-05-27 19:38:36";170.03
"2020-05-27 19:38:37";239.31
"2020-05-27 19:38:38";193.81
"2020-05-27 19:38:38";218.31
"2020-05-27 19:38:39";179.64
"2020-05-27 19:38:40";214.69
"2020-05-27 19:38:40";222.79
"2020-05-27 19:38:41";206.07
"2020-05-27 19:38:42";238.63
"2020-05-27 19:38:43";157.66
"2020-05-27 19:38:43";197.45
"2020-05-27 19:38:44";171.99
"2020-05-27 19:38:45";175.99
"2020-05-27 19:38:45";165
"2020-05-27 19:38:46";215.5
"2020-05-27 19:38:47";229.13
"2020-05-27 19:38:47";233.9
"2020-05-27 19:38:48";200.79
"2020-05-27 19:38:49";173.98
"2020-05-27 19:38:50";233.01
"2020-05-27 19:38:50";235.34
"2020-05-27 19:38:51";193.76
"2020-05-27 19:38:52";187.7
"2020-05-27 19:38:52";180.67
"2020-05-27 19:38:53";195.38
"2020-05-27 19:38:54";162.68
"2020-05-27 19:38:54";212.21
"2020-05-27 19:38:55";188.53
"2020-05-27 19:38:56";166.57
"2020-05-27 19:38:57";199.25
"2020-05-27 19:38:57";186.81
"2020-05-27 19:38:58";158.11
"2020-05-27 19:38:59";194.1
"2020-05-27 19:38:59";171.57
"2020-05-27 19:39:00";214.83
"2020-05-27 19:39:01";219.27
"2020-05-27 19:39:01";166.39
"2020-05-27 19:39:02";224.46
"2020-05-27 19:39:03";208.34
"2020-05-27 19:39:04";184.34
"2020-05-27 19:39:04";174.07
"2020-05-27 19:39:05";167.49
"2020-05-27 19:39:06";205.45
"2020-05-27 19:39:06";233.53
"2020-05-27 19:39:07";212.2
"2020-05-27 19:39:08";227.96
"2020-05-27 19:39:08";212.41
"2020-05-27 19:39:09";163.5
"2020-05-27 19:39:10";174.75
"2020-05-27 19:39:11";185.81
"2020-05-27 19:39:11";190.34
"2020-05-27 19:39:12";187.71
"2020-05-27 19:39:13";178.15
"2020-05-27 19:39:13";179.69
"2020-05-27 19:39:14";231.2
"2020-05-27 19:39:15";230.08
"2020-05-27 19:39:15";158.71
"2020-05-27 19:39:16";239.13
"2020-05-27 19:39:17";206.95
"2020-05-27 19:39:18";226.83
"2020-05-27 19:39:18";215.51
"2020-05-27 19:39:19";204.23
"2020-05-27 19:39:20";228.75
"2020-05-27 19:39:20";232.59
"2020-05-27 19:39:21";219.57
"2020-05-27 19:39:22";171.41
"2020-05-27 19:39:22";234.72
"2020-05-27 19:39:23";190.57
"2020-05-27 19:39:24";192.04
"2020-05-27 19:39:25";236.96
"2020-05-27 19:39:25";215.12
"2020-05-27 19:39:26";202.02
"2020-05-27 19:39:27";238.61
"2020-05-27 19:39:27";155.05
"2020-05-27 19:39:28";223.39
"2020-05-27 19:39:29";234.88
"2020-05-27 19:39:29";192.42
"2020-05-27 19:39:30";224.14
"2020-05-27 19:39:31";216.41
"2020-05-27 19:39:32";216.13
