name,time,value
Vazao,1590598676095428500,232.42
Vazao,1590599623712944500,191.95
Vazao,1590599624414360800,230.25
Vazao,1590599625118349300,237.17
Vazao,1590599625814648500,220.46
Vazao,1590599626514861200,174.73
Vazao,1590599627211787200,186.34
Vazao,1590599627913696900,237.82
Vazao,1590599628613849300,184.91
Vazao,1590599629315180900,200.18
Vazao,1590599630017352400,221.07
Vazao,1590599630715717000,194.54
Vazao,1590599631416001800,176.03
Vazao,1590599632118474100,156.67
Vazao,1590599632816574500,235.83
Vazao,1590599633517029700,206.2
Vazao,1590599634220223400,222.53
Vazao,1590599634919973100,220.9
Vazao,1590599635620934600,232.19
Vazao,1590599636319596000,238.14
Vazao,1590599637023729900,212.71
Vazao,1590599637721402500,239.91
Vazao,1590599638424207400,202.71
Vazao,1590599639121067300,159.83
Vazao,1590599639821507300,171.36
Vazao,1590599640525015200,153.84
Vazao,1590599641222186200,221.57
Vazao,1590599641924312500,216.83
Vazao,1590599642623511700,208.09
Vazao,1590599643325751900,226.61
Vazao,1590599644024877000,223.88
Vazao,1590599644727354100,171.71
Vazao,1590599645427644900,169.02
Vazao,1590599646130189300,155.46
Vazao,1590599646830940700,153.88
Vazao,1590599647532215900,195.22
Vazao,1590599648232529100,156.97
Vazao,1590599648931642900,185.73
Vazao,1590599649634384100,159.68
Vazao,1590599650337548500,177.74
Vazao,1590599651040802300,169.59
Vazao,1590599651741519300,215.51
Vazao,1590599652442687700,230.69
Vazao,1590599653147009600,173.17
Vazao,1590599653846956200,236.02
Vazao,1590599654547473400,162.38
Vazao,1590599655245460400,237.81
Vazao,1590599655947049200,186.29
Vazao,1590599656646899900,155.33
Vazao,1590599657347617600,208.3
Vazao,1590599658049622800,169.08
Vazao,1590599658747646500,221.81
Vazao,1590599659451082300,168.47
Vazao,1590599660147857000,160.46
Vazao,1590599660850167800,170.21
Vazao,1590599661550715600,216.88
Vazao,1590599662251704600,172.21
Vazao,1590599662952826100,215.59
Vazao,1590599663654870000,203.49
Vazao,1590599664353563000,175.76
Vazao,1590599665053258200,183.2
Vazao,1590599665754333400,217.91
Vazao,1590599666456389400,155.02
Vazao,1590599667155233000,225.76
Vazao,1590599667855068400,221.52
Vazao,1590599668554408600,224.85
Vazao,1590599669256369700,167.6
Vazao,1590599669956488200,164.33
Vazao,1590599670657893100,200.08
Vazao,1590599671356264600,181.25
Vazao,1590599672060030300,206.79
Vazao,1590599672758976800,161.9
Vazao,1590599673458385500,153.72
Vazao,1590599674161176000,184.24
Vazao,1590599674860271500,224.48
Vazao,1590599675561275900,189.26
Vazao,1590599676261516900,198.36
Vazao,1590599676962287200,235.72
Vazao,1590599677663265500,188.93
Vazao,1590599678363467300,163.82
Vazao,1590599679064780300,175.78
Vazao,1590599679765952900,195.1
Vazao,1590599680465427100,210
Vazao,1590599681167396200,198.22
Vazao,1590599681866169200,160.26
Vazao,1590599682566848100,170.86
Vazao,1590599683268146100,202.96
Vazao,1590599683964866900,190.85
Vazao,1590599684665991900,219.55
Vazao,1590599685367900100,188.52
Vazao,1590599686065615900,184.98
Vazao,1590599686766794500,216.49
Vazao,1590599687467408900,188.93
Vazao,1590599688167537400,205.9
Vazao,1590599688869249400,184
Vazao,1590599689571044700,200.69
Vazao,1590599690270072100,164.94
Vazao,1590599690970783300,165.11
Vazao,1590599691669943100,165.16
Vazao,1590599692371038800,224.71
Vazao,1590599693070748300,167.69
Vazao,1590599693770831400,219.62
Vazao,1590599694469556000,155.76
Vazao,1590599695171736300,184.32
Vazao,1590599695872115200,194.68
Vazao,1590599696571248100,163.83
Vazao,1590599697273679600,233.27
Vazao,1590599697975802600,212.53
Vazao,1590599698671555700,218.19
Vazao,1590599699373816400,233.96
Vazao,1590599700072112900,212.36
Vazao,1590599700772333000,230.56
Vazao,1590599701472460900,163.04
Vazao,1590599702174586500,210.06
Vazao,1590599702876712500,183.15
Vazao,1590599703575182800,186.7
Vazao,1590599704276997500,217.82
Vazao,1590599704976173200,154.05
Vazao,1590599705675973900,240.14
Vazao,1590599706376103100,198.44
Vazao,1590599707082503100,188.3
Vazao,1590599707783503700,161.13
Vazao,1590599708484360800,228.61
Vazao,1590599709186451300,183.05
Vazao,1590599709893242400,167.27
Vazao,1590599710592227800,217.11
Vazao,1590599711291795700,202.64
Vazao,1590599712006307000,165.84
Vazao,1590599712703949300,224.34
Vazao,1590599713413887700,209.6
Vazao,1590599714112587100,188.05
Vazao,1590599714810330200,238.23
Vazao,1590599715520657400,172.36
Vazao,1590599716222701100,221.07
Vazao,1590599716922835400,162.96
Vazao,1590599717636877600,172.42
Vazao,1590599718334911800,200.5
Vazao,1590599719043098700,160.88
Vazao,1590599719745296600,230.67
Vazao,1590599720449565400,177.47
Vazao,1590599721150720100,172.41
Vazao,1590599721858315100,165.14
Vazao,1590599722555257600,167.83
Vazao,1590599723256538100,183.25
Vazao,1590599723968159400,202.26
Vazao,1590599724663073900,235.97
Vazao,1590599725366394600,168.58
Vazao,1590599726072902100,179.24
Vazao,1590599726773027000,238.64
Vazao,1590599727485567500,176.29
Vazao,1590599728187366200,219.05
Vazao,1590599728888096600,193.92
Vazao,1590599729593961000,231.75
Vazao,1590599730298245000,219.88
Vazao,1590599730996375400,198.54
Vazao,1590599731707438500,232.83
Vazao,1590599732406787200,219.31
Vazao,1590599733110912100,157.34
Vazao,1590599733808070700,228.85
Vazao,1590599734509149300,183.41
Vazao,1590599735207284900,178.09
Vazao,1590599735920336600,173
Vazao,1590599736624120800,203.97
Vazao,1590599737321609100,208.73
Vazao,1590599738038968400,233.48
Vazao,1590599738737642200,184.97
Vazao,1590599739452594200,169.39
Vazao,1590599740150809900,186.23
Vazao,1590599740850935600,227.89
Vazao,1590599741558015300,162.52
Vazao,1590599742261087300,174.35
Vazao,1590599742960222900,160.27
Vazao,1590599743670602300,207.17
Vazao,1590599744375169300,228
Vazao,1590599745075289000,208.45
Vazao,1590599745784528900,222.05
Vazao,1590599746485246200,200.87
Vazao,1590599747187340000,218.76
Vazao,1590599747893771900,239.28
Vazao,1590599748596046100,191.01
Vazao,1590599749294765700,217.08
Vazao,1590599750003187400,186.08
Vazao,1590599750699457600,173.85
Vazao,1590599751399919500,216.27
Vazao,1590599752102804100,165.05
Vazao,1590599752800705900,153.98
Vazao,1590599753508893300,160
Vazao,1590599754206663300,239.32
Vazao,1590599754909499200,240.28
Vazao,1590599755620962200,223.61
Vazao,1590599756321612000,189.97
Vazao,1590599757022222100,221.26
Vazao,1590599757729692700,161.35
Vazao,1590599758435267500,209.17
Vazao,1590599759133094700,207.97
Vazao,1590599759845542900,174.84
Vazao,1590599760547695500,192.1
Vazao,1590599761242747300,204.75
Vazao,1590599761955577400,191.83
Vazao,1590599762673099300,199.91
Vazao,1590599763372036400,235.6
Vazao,1590599764078732200,195.73
Vazao,1590599764783680000,208.97
Vazao,1590599765499414700,190.91
Vazao,1590599766201239500,174.52
Vazao,1590599766914001900,196.68
Vazao,1590599767612307100,162.48
Vazao,1590599768314375200,227.02
Vazao,1590599769022725200,166.46
Vazao,1590599769724964700,173.3
Vazao,1590599770436681600,159.69
Vazao,1590599771135708700,195.05
Vazao,1590599771845390800,176.93
Vazao,1590599772565140400,188.97
Vazao,1590599773264735600,154.49
Vazao,1590599773975925900,177.42
Vazao,1590599774689713900,165.76
Vazao,1590599775392080400,217.38
Vazao,1590599776088893500,236.33
Vazao,1590599776800579500,156.91
Vazao,1590599777505329400,169.65
Vazao,1590599778205662700,155.21
Vazao,1590599778906419300,189.52
Vazao,1590599779617415400,214.72
Vazao,1590599780316865100,227
Vazao,1590599781015098100,196.31
Vazao,1590599781714229000,170.11
Vazao,1590599782414887800,203.39
Vazao,1590599783112967100,197.25
Vazao,1590599783814457700,205.56
Vazao,1590599784528437300,237.44
Vazao,1590599785226799800,190.98
Vazao,1590599785939761600,199.99
Vazao,1590599786640056100,235.07
Vazao,1590599787337710500,168.12
Vazao,1590599788042472000,160.8
Vazao,1590599788752100500,171.71
Vazao,1590599789451576500,223.34
Vazao,1590599790150889200,178.4
Vazao,1590599790860416800,229.12
Vazao,1590599791566562100,166.81
Vazao,1590599792263955200,204.67
Vazao,1590599792980177700,189.43
Vazao,1590599793679212400,160.3
Vazao,1590599794377895800,180.54
Vazao,1590599795082809100,189.22
Vazao,1590599795786073500,173.2
Vazao,1590599796497935700,186.51
Vazao,1590599797199134800,213.99
Vazao,1590599797917418800,159.91
Vazao,1590599798629526300,182.74
Vazao,1590599799326451800,177.5
Vazao,1590599800030320900,213.43
Vazao,1590599800743074600,185.36
Vazao,1590599801441682000,185.24
Vazao,1590599802143714500,235.2
Vazao,1590599802849279400,199.08
Vazao,1590599803555289100,199.91
Vazao,1590599804250836200,223.79
Vazao,1590599804961190600,161.03
Vazao,1590599805664786300,176.82
Vazao,1590599806362884600,234.02
Vazao,1590599807065129700,220.77
Vazao,1590599807777985500,163.8
Vazao,1590599808476370800,222.52
Vazao,1590599809175427600,198.99
Vazao,1590599809885996400,218.49
Vazao,1590599810593542800,197.96
Vazao,1590599811290658300,200.45
Vazao,1590599811993195800,208.98
Vazao,1590599812692705000,212.33
Vazao,1590599813395794700,190.43
Vazao,1590599814095965300,197.13
Vazao,1590599814799855300,180.36
Vazao,1590599815498391200,181.84
Vazao,1590599816201454700,154.49
Vazao,1590599816907314300,179.91
Vazao,1590599817613125400,208.72
Vazao,1590599818308706800,165.29
Vazao,1590599819019531400,218.45
Vazao,1590599819727249800,233.84
Vazao,1590599820427041700,185.91
Vazao,1590599821126942400,171.01
Vazao,1590599821839462900,156.98
Vazao,1590599822540560400,201.92
Vazao,1590599823236274700,206.73
Vazao,1590599823949786600,201.15
Vazao,1590599824668559500,163.13
Vazao,1590599825367013700,189.19
Vazao,1590599826067650200,214.48
Vazao,1590599826781854500,161.21
Vazao,1590599827478558000,164.72
Vazao,1590599828177954700,213.01
Vazao,1590599828889632900,207.73
Vazao,1590599829594977200,227.42
Vazao,1590599830294891100,175.9
Vazao,1590599831001400500,156.38
