name,time,value
Teste,2020-05-27T17:13:21.241877Z,4.11
Teste,2020-05-27T17:13:43.7139415Z,4.19
Teste,2020-05-27T17:13:44.4133706Z,4.05
Teste,2020-05-27T17:13:45.1183493Z,5.06
Teste,2020-05-27T17:13:45.8136519Z,5
Teste,2020-05-27T17:13:46.5148612Z,3.7
Teste,2020-05-27T17:13:47.2117872Z,5.23
Teste,2020-05-27T17:13:47.9136969Z,4.36
Teste,2020-05-27T17:13:48.6138493Z,3.78
Teste,2020-05-27T17:13:49.3151809Z,4.49
Teste,2020-05-27T17:13:50.0173524Z,5.04
Teste,2020-05-27T17:13:50.715717Z,4.68
Teste,2020-05-27T17:13:51.4160018Z,3.93
Teste,2020-05-27T17:13:52.1184741Z,5.32
Teste,2020-05-27T17:13:52.8165745Z,3.89
Teste,2020-05-27T17:13:53.5170297Z,3.91
Teste,2020-05-27T17:13:54.2192271Z,5.22
Teste,2020-05-27T17:13:54.9199731Z,4.24
Teste,2020-05-27T17:13:55.6209346Z,4.95
Teste,2020-05-27T17:13:56.319596Z,4.31
Teste,2020-05-27T17:13:57.0213743Z,5.15
Teste,2020-05-27T17:13:57.7223521Z,3.86
Teste,2020-05-27T17:13:58.4242074Z,4.68
Teste,2020-05-27T17:13:59.1210673Z,3.8
Teste,2020-05-27T17:13:59.8215073Z,5.37
Teste,2020-05-27T17:14:00.5250152Z,3.62
Teste,2020-05-27T17:14:01.2221862Z,3.61
Teste,2020-05-27T17:14:01.9243125Z,4.04
Teste,2020-05-27T17:14:02.6235117Z,3.63
Teste,2020-05-27T17:14:03.3257519Z,5.09
Teste,2020-05-27T17:14:04.024877Z,3.75
Teste,2020-05-27T17:14:04.7263581Z,4.14
Teste,2020-05-27T17:14:05.4276449Z,5.33
Teste,2020-05-27T17:14:06.1301893Z,4.92
Teste,2020-05-27T17:14:06.8309407Z,4.19
Teste,2020-05-27T17:14:07.5312189Z,4.05
Teste,2020-05-27T17:14:08.2315392Z,5.17
Teste,2020-05-27T17:14:08.9316429Z,3.96
Teste,2020-05-27T17:14:09.6343841Z,4.03
Teste,2020-05-27T17:14:10.3365494Z,3.61
Teste,2020-05-27T17:14:11.0408023Z,4.97
Teste,2020-05-27T17:14:11.7415193Z,3.96
Teste,2020-05-27T17:14:12.4426877Z,5.4
Teste,2020-05-27T17:14:13.1460095Z,3.5
Teste,2020-05-27T17:14:13.8459602Z,5.28
Teste,2020-05-27T17:14:14.5474734Z,3.76
Teste,2020-05-27T17:14:15.2454604Z,4.88
Teste,2020-05-27T17:14:15.9480004Z,4.96
Teste,2020-05-27T17:14:16.6468999Z,4.12
Teste,2020-05-27T17:14:17.3476176Z,5.02
Teste,2020-05-27T17:14:18.0479766Z,5.1
Teste,2020-05-27T17:14:18.7476465Z,4.76
Teste,2020-05-27T17:14:19.4510823Z,3.81
Teste,2020-05-27T17:14:20.147857Z,4.64
Teste,2020-05-27T17:14:20.8501678Z,3.8
Teste,2020-05-27T17:14:21.5507156Z,5
Teste,2020-05-27T17:14:22.2517046Z,4.69
Teste,2020-05-27T17:14:22.9528261Z,4.54
Teste,2020-05-27T17:14:23.65487Z,4.67
Teste,2020-05-27T17:14:24.353563Z,4.19
Teste,2020-05-27T17:14:25.0532582Z,4.38
Teste,2020-05-27T17:14:25.7543334Z,4.91
Teste,2020-05-27T17:14:26.4563894Z,4.91
Teste,2020-05-27T17:14:27.155233Z,3.94
Teste,2020-05-27T17:14:27.8550684Z,3.82
Teste,2020-05-27T17:14:28.5544086Z,5.08
Teste,2020-05-27T17:14:29.2563697Z,4.7
Teste,2020-05-27T17:14:29.9564882Z,5.25
Teste,2020-05-27T17:14:30.6578931Z,3.94
Teste,2020-05-27T17:14:31.3562646Z,3.78
Teste,2020-05-27T17:14:32.0600303Z,3.73
Teste,2020-05-27T17:14:32.7589768Z,4.42
Teste,2020-05-27T17:14:33.4583855Z,5.13
Teste,2020-05-27T17:14:34.1601779Z,4.86
Teste,2020-05-27T17:14:34.8602715Z,5.22
Teste,2020-05-27T17:14:35.5612759Z,4.61
Teste,2020-05-27T17:14:36.2615169Z,4.4
Teste,2020-05-27T17:14:36.9622872Z,4.59
Teste,2020-05-27T17:14:37.6632655Z,4.19
Teste,2020-05-27T17:14:38.3634673Z,5
Teste,2020-05-27T17:14:39.0647803Z,4.31
Teste,2020-05-27T17:14:39.7659529Z,4.21
Teste,2020-05-27T17:14:40.4654271Z,4.71
Teste,2020-05-27T17:14:41.1664027Z,3.95
Teste,2020-05-27T17:14:41.8661692Z,5.09
Teste,2020-05-27T17:14:42.5668481Z,4.5
Teste,2020-05-27T17:14:43.2681461Z,3.53
Teste,2020-05-27T17:14:43.9648669Z,4.59
Teste,2020-05-27T17:14:44.6659919Z,4.58
Teste,2020-05-27T17:14:45.3679001Z,4.23
Teste,2020-05-27T17:14:46.0656159Z,5.48
Teste,2020-05-27T17:14:46.7667945Z,4.61
Teste,2020-05-27T17:14:47.4674089Z,5.24
Teste,2020-05-27T17:14:48.1675374Z,4.75
Teste,2020-05-27T17:14:48.8692494Z,3.88
Teste,2020-05-27T17:14:49.5710447Z,4.59
Teste,2020-05-27T17:14:50.2700721Z,4.13
Teste,2020-05-27T17:14:50.9707833Z,3.82
Teste,2020-05-27T17:14:51.6699431Z,3.53
Teste,2020-05-27T17:14:52.3710388Z,4.36
Teste,2020-05-27T17:14:53.0707483Z,5.04
Teste,2020-05-27T17:14:53.7708314Z,3.88
Teste,2020-05-27T17:14:54.469556Z,3.97
Teste,2020-05-27T17:14:55.1717363Z,3.8
Teste,2020-05-27T17:14:55.8721152Z,4.44
Teste,2020-05-27T17:14:56.5702513Z,3.91
Teste,2020-05-27T17:14:57.2736796Z,4.76
Teste,2020-05-27T17:14:57.9748044Z,3.58
Teste,2020-05-27T17:14:58.672551Z,5.4
Teste,2020-05-27T17:14:59.3738164Z,5.24
Teste,2020-05-27T17:15:00.0721129Z,4.13
Teste,2020-05-27T17:15:00.772333Z,5.36
Teste,2020-05-27T17:15:01.4724609Z,5.27
Teste,2020-05-27T17:15:02.1745865Z,4.13
Teste,2020-05-27T17:15:02.8757133Z,4.93
Teste,2020-05-27T17:15:03.5751828Z,4.57
Teste,2020-05-27T17:15:04.2759986Z,5.46
Teste,2020-05-27T17:15:04.9761732Z,3.69
Teste,2020-05-27T17:15:05.6759739Z,3.79
Teste,2020-05-27T17:15:06.3761031Z,5.16
Teste,2020-05-27T17:15:07.0825031Z,4.22
Teste,2020-05-27T17:15:07.7835037Z,4.15
Teste,2020-05-27T17:15:08.4843608Z,3.64
Teste,2020-05-27T17:15:09.1864513Z,4.27
Teste,2020-05-27T17:15:09.891701Z,4.92
Teste,2020-05-27T17:15:10.5912815Z,4.26
Teste,2020-05-27T17:15:11.2917957Z,4.25
Teste,2020-05-27T17:15:12.0034586Z,5.5
Teste,2020-05-27T17:15:12.7029534Z,5.49
Teste,2020-05-27T17:15:13.4123562Z,3.67
Teste,2020-05-27T17:15:14.1125871Z,4.08
Teste,2020-05-27T17:15:14.8103302Z,3.77
Teste,2020-05-27T17:15:15.5211862Z,3.69
Teste,2020-05-27T17:15:16.2227011Z,4.02
Teste,2020-05-27T17:15:16.9228354Z,4.59
Teste,2020-05-27T17:15:17.6368776Z,3.91
Teste,2020-05-27T17:15:18.3349118Z,5.34
Teste,2020-05-27T17:15:19.0416745Z,5.31
Teste,2020-05-27T17:15:19.7452966Z,3.53
Teste,2020-05-27T17:15:20.4495654Z,5.01
Teste,2020-05-27T17:15:21.1507201Z,4.37
Teste,2020-05-27T17:15:21.8583151Z,4.24
Teste,2020-05-27T17:15:22.5552576Z,3.98
Teste,2020-05-27T17:15:23.2565381Z,4.66
Teste,2020-05-27T17:15:23.9665385Z,5.1
Teste,2020-05-27T17:15:24.6630739Z,3.84
Teste,2020-05-27T17:15:25.3663946Z,4.15
Teste,2020-05-27T17:15:26.0699487Z,4.03
Teste,2020-05-27T17:15:26.7720367Z,5.4
Teste,2020-05-27T17:15:27.4855675Z,4.45
Teste,2020-05-27T17:15:28.1863481Z,4.95
Teste,2020-05-27T17:15:28.8890466Z,3.86
Teste,2020-05-27T17:15:29.593961Z,5.39
Teste,2020-05-27T17:15:30.2972479Z,4.4
Teste,2020-05-27T17:15:30.9963754Z,4.96
Teste,2020-05-27T17:15:31.7074385Z,3.87
Teste,2020-05-27T17:15:32.4067872Z,5.41
Teste,2020-05-27T17:15:33.1109121Z,5.23
Teste,2020-05-27T17:15:33.8080707Z,3.79
Teste,2020-05-27T17:15:34.5091493Z,4.08
Teste,2020-05-27T17:15:35.2082798Z,4.28
Teste,2020-05-27T17:15:35.9203366Z,4.34
Teste,2020-05-27T17:15:36.6241208Z,4.72
Teste,2020-05-27T17:15:37.320646Z,5.22
Teste,2020-05-27T17:15:38.0363502Z,5.48
Teste,2020-05-27T17:15:38.7376422Z,3.85
Teste,2020-05-27T17:15:39.4508088Z,3.71
Teste,2020-05-27T17:15:40.1508099Z,4.52
Teste,2020-05-27T17:15:40.8499409Z,5.26
Teste,2020-05-27T17:15:41.5580153Z,4.46
Teste,2020-05-27T17:15:42.2610873Z,3.78
Teste,2020-05-27T17:15:42.9602229Z,4.69
Teste,2020-05-27T17:15:43.6706023Z,4.46
Teste,2020-05-27T17:15:44.3741708Z,5.46
Teste,2020-05-27T17:15:45.075289Z,3.77
Teste,2020-05-27T17:15:45.7845289Z,5.35
Teste,2020-05-27T17:15:46.4852462Z,4.79
Teste,2020-05-27T17:15:47.18734Z,4.51
Teste,2020-05-27T17:15:47.8932625Z,4.75
Teste,2020-05-27T17:15:48.5960461Z,3.62
Teste,2020-05-27T17:15:49.2947657Z,4.73
Teste,2020-05-27T17:15:50.0031874Z,4.88
Teste,2020-05-27T17:15:50.6994576Z,4.37
Teste,2020-05-27T17:15:51.3999195Z,3.65
Teste,2020-05-27T17:15:52.1028041Z,4.55
Teste,2020-05-27T17:15:52.7997115Z,5.2
Teste,2020-05-27T17:15:53.5063735Z,3.68
Teste,2020-05-27T17:15:54.2066633Z,5.12
Teste,2020-05-27T17:15:54.9074701Z,4.74
Teste,2020-05-27T17:15:55.6192943Z,4.09
Teste,2020-05-27T17:15:56.321612Z,4.71
Teste,2020-05-27T17:15:57.0222221Z,3.58
Teste,2020-05-27T17:15:57.7296927Z,4.63
Teste,2020-05-27T17:15:58.4330692Z,3.71
Teste,2020-05-27T17:15:59.1330947Z,4.1
Teste,2020-05-27T17:15:59.8455429Z,3.56
Teste,2020-05-27T17:16:00.5458925Z,4.33
Teste,2020-05-27T17:16:01.2427473Z,4.72
Teste,2020-05-27T17:16:01.954985Z,4.94
Teste,2020-05-27T17:16:02.6730993Z,3.51
Teste,2020-05-27T17:16:03.3720364Z,3.75
Teste,2020-05-27T17:16:04.0787322Z,5.31
Teste,2020-05-27T17:16:04.78368Z,4.65
Teste,2020-05-27T17:16:05.4994147Z,4.33
Teste,2020-05-27T17:16:06.2012395Z,3.59
Teste,2020-05-27T17:16:06.9127968Z,4.19
Teste,2020-05-27T17:16:07.6123071Z,4.37
Teste,2020-05-27T17:16:08.3143752Z,5.01
Teste,2020-05-27T17:16:09.0227252Z,4.52
Teste,2020-05-27T17:16:09.7249647Z,3.81
Teste,2020-05-27T17:16:10.4344093Z,3.83
Teste,2020-05-27T17:16:11.1347103Z,4.82
Teste,2020-05-27T17:16:11.8453908Z,3.85
Teste,2020-05-27T17:16:12.5634213Z,3.9
Teste,2020-05-27T17:16:13.2647356Z,5.39
Teste,2020-05-27T17:16:13.9742447Z,5.09
Teste,2020-05-27T17:16:14.6875688Z,4.77
Teste,2020-05-27T17:16:15.3910828Z,5.4
Teste,2020-05-27T17:16:16.0888935Z,3.77
Teste,2020-05-27T17:16:16.8005795Z,4.51
Teste,2020-05-27T17:16:17.5029576Z,4.3
Teste,2020-05-27T17:16:18.2046647Z,3.8
Teste,2020-05-27T17:16:18.9050578Z,5.27
Teste,2020-05-27T17:16:19.6147268Z,3.75
Teste,2020-05-27T17:16:20.3168651Z,3.95
Teste,2020-05-27T17:16:21.0150981Z,4.59
Teste,2020-05-27T17:16:21.714229Z,4.31
Teste,2020-05-27T17:16:22.4148878Z,5
Teste,2020-05-27T17:16:23.1129671Z,4.49
Teste,2020-05-27T17:16:23.8144577Z,4
Teste,2020-05-27T17:16:24.5264994Z,3.79
Teste,2020-05-27T17:16:25.2267998Z,4.73
Teste,2020-05-27T17:16:25.9371458Z,5.45
Teste,2020-05-27T17:16:26.638151Z,4.91
Teste,2020-05-27T17:16:27.3377105Z,4.19
Teste,2020-05-27T17:16:28.0402882Z,5.06
Teste,2020-05-27T17:16:28.749802Z,4.53
Teste,2020-05-27T17:16:29.4506459Z,5.29
Teste,2020-05-27T17:16:30.1508892Z,5.37
Teste,2020-05-27T17:16:30.8604168Z,4.09
Teste,2020-05-27T17:16:31.5649758Z,3.64
Teste,2020-05-27T17:16:32.2639552Z,4.4
