name,time,value
Teste,1590599601241877000,4.11
Teste,1590599623713941500,4.19
Teste,1590599624413370600,4.05
Teste,1590599625118349300,5.06
Teste,1590599625813651900,5
Teste,1590599626514861200,3.7
Teste,1590599627211787200,5.23
Teste,1590599627913696900,4.36
Teste,1590599628613849300,3.78
Teste,1590599629315180900,4.49
Teste,1590599630017352400,5.04
Teste,1590599630715717000,4.68
Teste,1590599631416001800,3.93
Teste,1590599632118474100,5.32
Teste,1590599632816574500,3.89
Teste,1590599633517029700,3.91
Teste,1590599634219227100,5.22
Teste,1590599634919973100,4.24
Teste,1590599635620934600,4.95
Teste,1590599636319596000,4.31
Teste,1590599637021374300,5.15
Teste,1590599637722352100,3.86
Teste,1590599638424207400,4.68
Teste,1590599639121067300,3.8
Teste,1590599639821507300,5.37
Teste,1590599640525015200,3.62
Teste,1590599641222186200,3.61
Teste,1590599641924312500,4.04
Teste,1590599642623511700,3.63
Teste,1590599643325751900,5.09
Teste,1590599644024877000,3.75
Teste,1590599644726358100,4.14
Teste,1590599645427644900,5.33
Teste,1590599646130189300,4.92
Teste,1590599646830940700,4.19
Teste,1590599647531218900,4.05
Teste,1590599648231539200,5.17
Teste,1590599648931642900,3.96
Teste,1590599649634384100,4.03
Teste,1590599650336549400,3.61
Teste,1590599651040802300,4.97
Teste,1590599651741519300,3.96
Teste,1590599652442687700,5.4
Teste,1590599653146009500,3.5
Teste,1590599653845960200,5.28
Teste,1590599654547473400,3.76
Teste,1590599655245460400,4.88
Teste,1590599655948000400,4.96
Teste,1590599656646899900,4.12
Teste,1590599657347617600,5.02
Teste,1590599658047976600,5.1
Teste,1590599658747646500,4.76
Teste,1590599659451082300,3.81
Teste,1590599660147857000,4.64
Teste,1590599660850167800,3.8
Teste,1590599661550715600,5
Teste,1590599662251704600,4.69
Teste,1590599662952826100,4.54
Teste,1590599663654870000,4.67
Teste,1590599664353563000,4.19
Teste,1590599665053258200,4.38
Teste,1590599665754333400,4.91
Teste,1590599666456389400,4.91
Teste,1590599667155233000,3.94
Teste,1590599667855068400,3.82
Teste,1590599668554408600,5.08
Teste,1590599669256369700,4.7
Teste,1590599669956488200,5.25
Teste,1590599670657893100,3.94
Teste,1590599671356264600,3.78
Teste,1590599672060030300,3.73
Teste,1590599672758976800,4.42
Teste,1590599673458385500,5.13
Teste,1590599674160177900,4.86
Teste,1590599674860271500,5.22
Teste,1590599675561275900,4.61
Teste,1590599676261516900,4.4
Teste,1590599676962287200,4.59
Teste,1590599677663265500,4.19
Teste,1590599678363467300,5
Teste,1590599679064780300,4.31
Teste,1590599679765952900,4.21
Teste,1590599680465427100,4.71
Teste,1590599681166402700,3.95
Teste,1590599681866169200,5.09
Teste,1590599682566848100,4.5
Teste,1590599683268146100,3.53
Teste,1590599683964866900,4.59
Teste,1590599684665991900,4.58
Teste,1590599685367900100,4.23
Teste,1590599686065615900,5.48
Teste,1590599686766794500,4.61
Teste,1590599687467408900,5.24
Teste,1590599688167537400,4.75
Teste,1590599688869249400,3.88
Teste,1590599689571044700,4.59
Teste,1590599690270072100,4.13
Teste,1590599690970783300,3.82
Teste,1590599691669943100,3.53
Teste,1590599692371038800,4.36
Teste,1590599693070748300,5.04
Teste,1590599693770831400,3.88
Teste,1590599694469556000,3.97
Teste,1590599695171736300,3.8
Teste,1590599695872115200,4.44
Teste,1590599696570251300,3.91
Teste,1590599697273679600,4.76
Teste,1590599697974804400,3.58
Teste,1590599698672551000,5.4
Teste,1590599699373816400,5.24
Teste,1590599700072112900,4.13
Teste,1590599700772333000,5.36
Teste,1590599701472460900,5.27
Teste,1590599702174586500,4.13
Teste,1590599702875713300,4.93
Teste,1590599703575182800,4.57
Teste,1590599704275998600,5.46
Teste,1590599704976173200,3.69
Teste,1590599705675973900,3.79
Teste,1590599706376103100,5.16
Teste,1590599707082503100,4.22
Teste,1590599707783503700,4.15
Teste,1590599708484360800,3.64
Teste,1590599709186451300,4.27
Teste,1590599709891701000,4.92
Teste,1590599710591281500,4.26
Teste,1590599711291795700,4.25
Teste,1590599712003458600,5.5
Teste,1590599712702953400,5.49
Teste,1590599713412356200,3.67
Teste,1590599714112587100,4.08
Teste,1590599714810330200,3.77
Teste,1590599715521186200,3.69
Teste,1590599716222701100,4.02
Teste,1590599716922835400,4.59
Teste,1590599717636877600,3.91
Teste,1590599718334911800,5.34
Teste,1590599719041674500,5.31
Teste,1590599719745296600,3.53
Teste,1590599720449565400,5.01
Teste,1590599721150720100,4.37
Teste,1590599721858315100,4.24
Teste,1590599722555257600,3.98
Teste,1590599723256538100,4.66
Teste,1590599723966538500,5.1
Teste,1590599724663073900,3.84
Teste,1590599725366394600,4.15
Teste,1590599726069948700,4.03
Teste,1590599726772036700,5.4
Teste,1590599727485567500,4.45
Teste,1590599728186348100,4.95
Teste,1590599728889046600,3.86
Teste,1590599729593961000,5.39
Teste,1590599730297247900,4.4
Teste,1590599730996375400,4.96
Teste,1590599731707438500,3.87
Teste,1590599732406787200,5.41
Teste,1590599733110912100,5.23
Teste,1590599733808070700,3.79
Teste,1590599734509149300,4.08
Teste,1590599735208279800,4.28
Teste,1590599735920336600,4.34
Teste,1590599736624120800,4.72
Teste,1590599737320646000,5.22
Teste,1590599738036350200,5.48
Teste,1590599738737642200,3.85
